agr_params,time,accuracy
[ 8  6 15  7  1  0],22.064109563827515,0.9277942528747521
[11  7 20 15  3  0],22.064109563827515,0.8743972252190004
[ 0  3 10 12  8  0],22.064109563827515,0.842607384934923
[ 4  3  5 10  0  1],22.064109563827515,0.9338913029761714
[0 1 3 1 1 1],22.064109563827515,0.9463529151957168
[6 9 7 4 8 0],22.064109563827515,0.9120224218771819
[0 8 1 1 8 1],22.064109563827515,0.8888961437929455
[ 8  3  0 16  1  1],22.064109563827515,0.9160944486795846
[ 4  8 17  4  3  1],43.4199914932251,0.9290607005323864
[ 8  9 12  1  0  1],43.4199914932251,0.9583021300628168
[ 3  6 16  6  7  0],43.4199914932251,0.8899067160126565
[ 1  9  2 17  0  0],43.4199914932251,0.9079646175599594
[ 1  1  9 19  4  1],43.4199914932251,0.8594027176841863
[ 8  1 13  9  7  1],43.4199914932251,0.8062602725131597
[5 0 7 0 1 0],43.4199914932251,0.8764319456670036
[ 0  9  9 16  1  1],43.4199914932251,0.9056740216740331
[ 4  8 11 17  0  0],56.24823498725891,0.9036386547494308
[ 1  2  5 20  4  1],56.24823498725891,0.8588929062381372
[ 3  4 20  3  3  1],56.24823498725891,0.9308427779254618
[ 2  8  9 10  2  0],56.24823498725891,0.903385365217904
[ 1  0 19  5  3  0],56.24823498725891,0.8125950967077273
[ 1  7 15  7  3  1],56.24823498725891,0.9204120072943247
[ 0  7 15 15  0  1],56.24823498725891,0.9219446740154678
[3 4 8 2 4 0],56.24823498725891,0.9402500468049058
[ 1  5  9 14  3  0],28881.246136903763,0.8769385247300572
[ 6  2 16 13  4  0],28881.246136903763,0.8764332386202017
[ 3  0  3 10  7  0],28881.246136903763,0.743169069663284
[7 4 7 1 5 0],28881.246136903763,0.9440642587395879
[ 5  4  9 11  2  1],28881.246136903763,0.9125309403700328
[10  8 12  0  8  0],28881.246136903763,0.931606525379637
[2 7 0 6 5 1],28881.246136903763,0.9127829369483615
[ 4  1  6 13  2  0],28881.246136903763,0.8916823286397408
[10  9  2 17  3  1],28912.230802297592,0.8835492651371202
[ 7  6 19 16  6  0],28912.230802297592,0.8433743647720937
[ 7  9 17  5  7  1],28912.230802297592,0.8565984314926162
[10  1 19  0  5  1],28912.230802297592,0.9013519377230991
[2 0 6 5 6 0],28912.230802297592,0.7614977156102894
[ 2  2  3 12  8  1],28912.230802297592,0.7701412370355583
[6 9 0 2 7 0],28912.230802297592,0.9377042219576552
