paras,rewards
[ 8  3 15 11  8  1],0.7719349510074174
[11  1 20 14  6  1],0.8179626626147237
[11  2 13  2  7  0],0.9260218726306633
[ 6  4 15 10  5  0],0.8891578375202606
[2 0 2 5 5 0],0.7884685900293655
[ 4  3 19 18  0  0],0.9000841971122666
[3 9 5 7 6 1],0.8721428320226235
[ 2  0 20 15  1  1],0.8464319404951908
[ 7  3 10 17  3  0],0.8680494714924507
[ 0  1 14  5  2  0],0.9232292230178769
[ 6  9 19 11  8  0],0.8650028858715384
[ 4  4  8 12  6  0],0.8746673231421038
[ 7  2 11 12  1  0],0.910765024891935
[0 8 8 9 3 0],0.9074541596373111
[ 1  0 18 10  2  1],0.7831242972799368
[ 3  0  2 12  1  1],0.849491455648085
[0 2 6 5 3 1],0.9275493675390136
[11  9 18 12  8  1],0.7673576380951592
[11  1  6 12  5  0],0.8825445112068011
[ 2  8  3 17  3  0],0.8634728050567917
[11  0 18  1  7  0],0.7630374935740225
[0 0 2 2 2 0],0.8357789112092836
[8 8 9 8 4 1],0.9000938942612531
[ 7  7 14  6  4  1],0.9087354762567246
[6 7 8 5 2 1],0.940511740532221
[ 6  1 13 18  6  1],0.7782930483595527
[ 3  9 13 18  1  0],0.8843220632636828
[1 2 8 1 6 1],0.9196657147083253
[ 9  9 14  6  7  1],0.8472150822473389
[ 1  3 17  9  1  0],0.9201735867245772
[ 2  2 15  1  2  0],0.9417827135260488
[ 8  0 19 11  3  0],0.8136315279914024
[ 0  4  0 15  3  0],0.8794940467262942
[ 5  4 16  8  5  1],0.8805259526737754
[ 3  7 20  8  6  1],0.8601839200065372
[ 2  0  0 16  1  0],0.8563606573994678
[ 8  8  6 13  3  1],0.8888967902695445
[10  4 17  6  7  0],0.8988203353610287
[ 1  0  8 19  1  0],0.8474631999660729
[ 6  6 12  3  5  1],0.9148409305539322
[1 4 3 2 4 1],0.946868544931158
[ 4  3  0 13  8  0],0.8578823340184261
[11  9  8  8  0  1],0.9420405283937694
[ 5  8 18  2  0  1],0.9489013259493638
[ 8  0 18 17  5  1],0.6847217668153736
[ 5  3 18 14  8  0],0.8492407520229546
[11  4 14  9  8  1],0.7935427848556909
[10  6  6 16  2  0],0.8812709523065767
[2 3 3 3 0 0],0.9486467434646388
[ 9  0  6 17  2  1],0.7930310339798443
[10  5 17 13  0  0],0.912799098863339
[ 3  7  1 13  3  0],0.8853391002493849
[ 7  3 17 10  8  1],0.7843842801715801
[ 7  5  4 19  3  0],0.8588916132849389
[ 6  8  1 20  8  0],0.8108498684808007
[ 6  5 17  1  2  0],0.9417859459090443
[1 5 9 7 7 0],0.9006030592307032
[4 3 9 9 1 0],0.9196657147083253
[ 8  9 19  0  3  0],0.9377171514896372
[ 5  3  7 15  3  1],0.8845753527952096
[6 3 9 1 2 0],0.9519550228128661
[ 9  2  1 10  6  1],0.8510267082756244
[ 7  7  4 11  3  0],0.8949996586603557
[ 4  4  6 10  3  1],0.9082198465212836
[ 5  4 13 10  5  0],0.8899164131616429
[ 6  3  1 14  3  0],0.8843220632636828
[ 9  9 18  2  7  0],0.9186512636290196
[ 5  6 19 17  1  1],0.909494051898107
[ 9  1  9 12  1  1],0.9209366877021532
[ 7  1 13  8  7  0],0.8863651879074742
[ 8  8 12  6  0  1],0.9463593799617079
[11  3 11 10  0  0],0.9224628896573053
[ 8  4  2 17  8  1],0.7289467137784333
[ 4  7 10 13  1  0],0.9059370083545464
[ 8  4 17 17  4  0],0.8568672364625214
[ 7  2  3 12  4  1],0.8777184340992099
[ 6  7 20  9  0  1],0.9323786770296003
[ 1  9  6 11  2  1],0.9102526275394893
[11  6  2 12  3  0],0.8919524265628442
[ 9  5  6 10  4  0],0.8955107630596031
[ 8  9 10  9  3  0],0.9044082204929978
[ 3  1 11  1  4  0],0.9323767375998031
[4 6 9 8 1 1],0.932885256092654
[11  1 19 19  2  0],0.8667784984986227
[7 0 5 5 2 1],0.8029642762203151
[11  1  2 10  4  1],0.8845869893739935
[11  2 19 16  7  1],0.7604923152033711
[8 3 2 2 7 1],0.9074677356458922
[ 5  7 13  3  1  0],0.9400038685159691
[4 4 2 2 7 1],0.9061974091286633
