agr_params,time,accuracy
[ 8  3 15 11  8  1],34.12263536453247,0.7719349510074174
[11  1 20 14  6  1],34.12263536453247,0.8179626626147237
[11  2 13  2  7  0],34.12263536453247,0.9260218726306633
[ 6  4 15 10  5  0],34.12263536453247,0.8891578375202606
[2 0 2 5 5 0],34.12263536453247,0.7884685900293655
[ 4  3 19 18  0  0],34.12263536453247,0.9000841971122666
[3 9 5 7 6 1],34.12263536453247,0.8721428320226235
[ 2  0 20 15  1  1],34.12263536453247,0.8464319404951908
[ 7  3 10 17  3  0],50.26338315010071,0.8680494714924507
[ 0  1 14  5  2  0],50.26338315010071,0.9232292230178769
[ 6  9 19 11  8  0],50.26338315010071,0.8650028858715384
[ 4  4  8 12  6  0],50.26338315010071,0.8746673231421038
[ 7  2 11 12  1  0],50.26338315010071,0.910765024891935
[0 8 8 9 3 0],50.26338315010071,0.9074541596373111
[ 1  0 18 10  2  1],50.26338315010071,0.7831242972799368
[ 3  0  2 12  1  1],50.26338315010071,0.849491455648085
[0 2 6 5 3 1],80.59179019927979,0.9275493675390136
[11  9 18 12  8  1],80.59179019927979,0.7673576380951592
[11  1  6 12  5  0],80.59179019927979,0.8825445112068011
[ 2  8  3 17  3  0],80.59179019927979,0.8634728050567917
[11  0 18  1  7  0],80.59179019927979,0.7630374935740225
[0 0 2 2 2 0],80.59179019927979,0.8357789112092836
[8 8 9 8 4 1],80.59179019927979,0.9000938942612531
[ 7  7 14  6  4  1],80.59179019927979,0.9087354762567246
[6 7 8 5 2 1],103.68575596809387,0.940511740532221
[ 6  1 13 18  6  1],103.68575596809387,0.7782930483595527
[ 3  9 13 18  1  0],103.68575596809387,0.8843220632636828
[1 2 8 1 6 1],103.68575596809387,0.9196657147083253
[ 9  9 14  6  7  1],103.68575596809387,0.8472150822473389
[ 1  3 17  9  1  0],103.68575596809387,0.9201735867245772
[ 2  2 15  1  2  0],103.68575596809387,0.9417827135260488
[ 8  0 19 11  3  0],103.68575596809387,0.8136315279914024
[ 0  4  0 15  3  0],127.48285269737244,0.8794940467262942
[ 5  4 16  8  5  1],127.48285269737244,0.8805259526737754
[ 3  7 20  8  6  1],127.48285269737244,0.8601839200065372
[ 2  0  0 16  1  0],127.48285269737244,0.8563606573994678
[ 8  8  6 13  3  1],127.48285269737244,0.8888967902695445
[10  4 17  6  7  0],127.48285269737244,0.8988203353610287
[ 1  0  8 19  1  0],127.48285269737244,0.8474631999660729
[ 6  6 12  3  5  1],127.48285269737244,0.9148409305539322
[1 4 3 2 4 1],157.43625831604004,0.946868544931158
[ 4  3  0 13  8  0],157.43625831604004,0.8578823340184261
[11  9  8  8  0  1],157.43625831604004,0.9420405283937694
[ 5  8 18  2  0  1],157.43625831604004,0.9489013259493638
[ 8  0 18 17  5  1],157.43625831604004,0.6847217668153736
[ 5  3 18 14  8  0],157.43625831604004,0.8492407520229546
[11  4 14  9  8  1],157.43625831604004,0.7935427848556909
[10  6  6 16  2  0],157.43625831604004,0.8812709523065767
[2 3 3 3 0 0],181.74898409843445,0.9486467434646388
[ 9  0  6 17  2  1],181.74898409843445,0.7930310339798443
[10  5 17 13  0  0],181.74898409843445,0.912799098863339
[ 3  7  1 13  3  0],181.74898409843445,0.8853391002493849
[ 7  3 17 10  8  1],181.74898409843445,0.7843842801715801
[ 7  5  4 19  3  0],181.74898409843445,0.8588916132849389
[ 6  8  1 20  8  0],181.74898409843445,0.8108498684808007
[ 6  5 17  1  2  0],181.74898409843445,0.9417859459090443
[1 5 9 7 7 0],206.24921345710754,0.9006030592307032
[4 3 9 9 1 0],206.24921345710754,0.9196657147083253
[ 8  9 19  0  3  0],206.24921345710754,0.9377171514896372
[ 5  3  7 15  3  1],206.24921345710754,0.8845753527952096
[6 3 9 1 2 0],206.24921345710754,0.9519550228128661
[ 9  2  1 10  6  1],206.24921345710754,0.8510267082756244
[ 7  7  4 11  3  0],206.24921345710754,0.8949996586603557
[ 4  4  6 10  3  1],206.24921345710754,0.9082198465212836
[ 5  4 13 10  5  0],233.92134547233582,0.8899164131616429
[ 6  3  1 14  3  0],233.92134547233582,0.8843220632636828
[ 9  9 18  2  7  0],233.92134547233582,0.9186512636290196
[ 5  6 19 17  1  1],233.92134547233582,0.909494051898107
[ 9  1  9 12  1  1],233.92134547233582,0.9209366877021532
[ 7  1 13  8  7  0],233.92134547233582,0.8863651879074742
[ 8  8 12  6  0  1],233.92134547233582,0.9463593799617079
[11  3 11 10  0  0],233.92134547233582,0.9224628896573053
[ 8  4  2 17  8  1],260.8434715270996,0.7289467137784333
[ 4  7 10 13  1  0],260.8434715270996,0.9059370083545464
[ 8  4 17 17  4  0],260.8434715270996,0.8568672364625214
[ 7  2  3 12  4  1],260.8434715270996,0.8777184340992099
[ 6  7 20  9  0  1],260.8434715270996,0.9323786770296003
[ 1  9  6 11  2  1],260.8434715270996,0.9102526275394893
[11  6  2 12  3  0],260.8434715270996,0.8919524265628442
[ 9  5  6 10  4  0],260.8434715270996,0.8955107630596031
[ 8  9 10  9  3  0],296.28130292892456,0.9044082204929978
[ 3  1 11  1  4  0],296.28130292892456,0.9323767375998031
[4 6 9 8 1 1],296.28130292892456,0.932885256092654
[11  1 19 19  2  0],296.28130292892456,0.8667784984986227
[7 0 5 5 2 1],296.28130292892456,0.8029642762203151
[11  1  2 10  4  1],296.28130292892456,0.8845869893739935
[11  2 19 16  7  1],296.28130292892456,0.7604923152033711
[8 3 2 2 7 1],296.28130292892456,0.9074677356458922
[ 5  7 13  3  1  0],321.515912771225,0.9400038685159691
[4 4 2 2 7 1],321.515912771225,0.9061974091286633
[ 3  1  5 15  1  1],321.515912771225,0.9077132674582298
[ 3  4  0 11  8  0],321.515912771225,0.8678013537737166
[ 9  8  6 12  8  1],321.515912771225,0.7660898974843269
[4 2 7 8 2 1],321.515912771225,0.9244930847691148
[ 6  7  1 15  5  1],321.515912771225,0.838311160047953
[1 4 1 3 3 0],321.515912771225,0.9438174339740519
[11  0 10  6  0  1],351.1099395751953,0.8848234705139437
[ 9  3 15 20  6  0],351.1099395751953,0.8309399045697103
[11  5 18  1  3  1],351.1099395751953,0.9407689089233423
[ 4  5  6 14  2  0],351.1099395751953,0.8878810462370408
[1 5 9 8 4 1],351.1099395751953,0.899584082815204
[ 5  9 18 17  6  1],351.1099395751953,0.7920198152835343
[10  9  8  3  0  1],351.1099395751953,0.9542410933625989
[11  5 12 17  4  1],351.1099395751953,0.8479749508419194
[9 6 3 9 2 0],370.81324768066406,0.9107663178451332
[ 2  2  4 10  5  0],370.81324768066406,0.8883953830192837
[ 0  0 12 15  6  1],370.81324768066406,0.6051221375309146
[ 0  6 10 19  0  0],370.81324768066406,0.8817814102292251
[ 6  3 10  2  6  1],370.81324768066406,0.9133127891689827
[ 6  8 16 18  7  1],370.81324768066406,0.7358243197256042
[0 3 7 0 3 0],370.81324768066406,0.9603433152768109
[ 5  5 13 19  3  0],370.81324768066406,0.8588916132849389
[7 3 8 0 7 1],397.0166172981262,0.8998276751977443
[ 5  7  7 17  0  0],397.0166172981262,0.9046589241181283
[ 5  2 18  9  6  0],397.0166172981262,0.8927168204936184
[ 6  0 20 14  2  0],397.0166172981262,0.8301638740601522
[ 8  7 20  9  1  1],397.0166172981262,0.9278026570705404
[ 2  6 14  9  4  0],397.0166172981262,0.897290254546282
[ 8  7  5 14  6  0],397.0166172981262,0.8675448318591943
[ 3  9 20  7  6  1],397.0166172981262,0.8617120613914866
[ 4  0 12 20  1  1],416.5636749267578,0.8352406547928741
[ 3  4  7 15  7  0],416.5636749267578,0.8505097855869852
[ 5  3 13  7  2  1],416.5636749267578,0.9300867881904757
[ 9  4 10  2  4  1],416.5636749267578,0.936952757558863
[2 6 9 4 0 0],416.5636749267578,0.9415313634243193
[ 3  6  1 18  4  0],416.5636749267578,0.8561009031019499
[ 6  8 15 12  2  1],416.5636749267578,0.9097454019998366
[ 0  8  9 10  8  0],416.5636749267578,0.8683111652197659
[ 3  2  7 13  7  0],439.9545180797577,0.8629681654235353
[ 9  2 13 14  7  0],439.9545180797577,0.8589026033871237
[ 5  3  6 12  1  0],439.9545180797577,0.9097512202892284
[10  7  9  9  1  0],439.9545180797577,0.9214490850545989
[ 5  0 14  4  8  1],439.9545180797577,0.5751337689378855
[ 7  9 14  5  1  1],439.9545180797577,0.9402616833836897
[0 5 8 7 3 1],439.9545180797577,0.9173777047287952
[ 7  3  0 19  6  0],439.9545180797577,0.8339890760970191
[11  0 12  9  1  0],470.9860577583313,0.8667823773582173
[ 9  3  8 13  8  0],470.9860577583313,0.8568659435093232
[ 9  8  0 20  6  1],470.9860577583313,0.7571930865275311
[ 4  9 14  3  1  1],470.9860577583313,0.9456008043203254
[ 9  3 12 10  3  0],470.9860577583313,0.9000880759718612
[ 8  8 10 14  4  0],470.9860577583313,0.875423959353689
[10  7 19  9  3  1],470.9860577583313,0.9079659105131577
[ 4  5 20  5  6  0],470.9860577583313,0.9049199713688443
[11  8  7  2  3  1],502.06447315216064,0.9496631339737416
[0 1 3 6 6 0],502.06447315216064,0.9039016414299441
[ 4  0 19  8  1  0],502.06447315216064,0.8637235086819222
[7 9 5 8 6 0],502.06447315216064,0.8965329718580979
[11  2 14  1  6  0],502.06447315216064,0.9349225624470536
[9 2 8 2 6 1],502.06447315216064,0.9166171896576156
[0 2 8 5 5 1],502.06447315216064,0.9077229646072164
[ 9  8  9 16  2  0],502.06447315216064,0.8825470971131975
[ 2  5  4 18  2  0],517.5489919185638,0.8695730875412064
[ 7  3 11 13  3  1],517.5489919185638,0.889153958660666
[1 2 6 6 2 1],517.5489919185638,0.9323825558891949
[ 0  8  4 20  4  1],517.5489919185638,0.8314238569517955
[6 9 9 9 7 0],517.5489919185638,0.885092921960448
[ 4  9  1 18  4  1],517.5489919185638,0.8421260184592343
[ 3  9  8 12  7  0],517.5489919185638,0.8642449567067552
[ 1  8 19 19  2  1],517.5489919185638,0.8827978007383279
[ 2  1 20  8  1  1],535.8616642951965,0.9242417346673852
[11  8 18 17  2  0],535.8616642951965,0.878221780779268
[ 0  5 12  8  2  0],535.8616642951965,0.9125458093318122
[5 6 4 4 6 1],535.8616642951965,0.9041594562976647
[ 7  4 18 17  1  1],535.8616642951965,0.9082192000446845
[0 8 0 0 7 0],535.8616642951965,0.9664435977612257
[ 2  9 19  9  8  0],535.8616642951965,0.8835647805754987
[ 6  8  3 20  0  1],535.8616642951965,0.9143246543418919
[ 7  4 14  9  4  0],563.7369229793549,0.9003439514097844
[11  1 20 11  0  1],563.7369229793549,0.9250041891683622
[ 7  5  7 12  0  1],563.7369229793549,0.927546135156018
[ 9  6 11 19  0  0],563.7369229793549,0.8977968336093358
[8 6 4 3 1 1],563.7369229793549,0.9588216386578525
[ 2  3  9 18  0  0],563.7369229793549,0.8977948941795384
[11  5 12 13  2  1],563.7369229793549,0.9046582776415293
[10  5  9 15  8  0],563.7369229793549,0.8451654928375565
[ 7  8 10 13  8  1],578.9089395999908,0.7569346251832114
[ 4  6 19 14  3  0],578.9089395999908,0.8822879892922788
[ 0  7 13 13  5  0],578.9089395999908,0.8713635691300701
[ 0  9 10 19  6  0],578.9089395999908,0.8210279960570099
[ 4  1 17 15  2  0],578.9089395999908,0.8868691810641316
[ 0  0 13 18  5  1],578.9089395999908,0.6679419495044887
[ 3  4 13 18  7  1],578.9089395999908,0.7353151547561543
[0 4 4 1 7 0],578.9089395999908,0.9445753631388353
[11  7 18 17  7  1],602.9872894287109,0.7533743492566554
[1 7 6 8 5 1],602.9872894287109,0.8800103229383345
[2 3 0 9 4 1],602.9872894287109,0.8932266319396678
[ 3  0  0 15  1  0],602.9872894287109,0.8555949705154953
[ 1  0  8 11  4  1],602.9872894287109,0.7200680041664124
[ 5  9  9 19  0  0],602.9872894287109,0.8985534698209208
