agr_params,time,accuracy
[2 0 2 8 6 1],28.625572681427002,0.6821862855937086
[ 2  0  6 15  4  0],28.625572681427002,0.7762428124731713
[11  9 19  2  5  0],28.625572681427002,0.9163483846877105
[8 2 1 0 8 1],28.625572681427002,0.8965161634665213
[ 4  9 12  2  7  0],28.625572681427002,0.9229545997585797
[ 0  7 13 10  5  1],28.625572681427002,0.8858405074996457
[ 5  3 12  8  8  0],28.625572681427002,0.8713402959725025
[ 4  1 20  5  8  0],28.625572681427002,0.8713390030193043
[5 3 3 9 5 0],49.40839672088623,0.888638975401824
[ 4  1 12  1  6  0],49.40839672088623,0.9186357481906413
[ 7  4  1 20  3  1],49.40839672088623,0.874655040086721
[3 0 4 3 5 0],49.40839672088623,0.7815780545502127
[ 2  8 18  4  4  0],49.40839672088623,0.915582697803738
[11  6 12 20  0  1],49.40839672088623,0.9135531491685276
[ 9  1  4 15  1  1],49.40839672088623,0.9127881087611542
[ 0  5 16 16  8  0],49.40839672088623,0.8227771031435313
[ 3  8 10  3  4  0],73.72096347808838,0.9308388990658671
[11  2 18 11  2  1],73.72096347808838,0.9130394588628838
[ 7  4 19 15  3  1],73.72096347808838,0.8901625914505797
[ 9  4 13 17  1  0],73.72096347808838,0.8904152345055074
[10  1 12  9  1  1],73.72096347808838,0.9257563000437535
[ 1  9 19  3  5  0],73.72096347808838,0.9122795902683033
[4 1 4 1 5 1],73.72096347808838,0.9191513779260824
[ 5  9 17  3  2  0],73.72096347808838,0.9303323200028135
[ 8  5  5 20  2  1],94.11000323295593,0.8865964972346316
[ 1  8 18 16  0  1],94.11000323295593,0.9204178255837167
[10  4 12  5  4  0],94.11000323295593,0.9165971488830436
[ 7  5 20 17  1  1],94.11000323295593,0.9110112031808717
[ 1  7  7 20  0  1],94.11000323295593,0.9084686107166167
[3 6 0 3 3 0],94.11000323295593,0.9420288918149857
[ 6  2  3 12  5  0],94.11000323295593,0.8718559257079436
[ 6  7 16  9  2  1],94.11000323295593,0.9211738153187026
[3 0 9 4 1 1],116.13968276977539,0.8604094110443028
[4 6 8 2 6 1],116.13968276977539,0.9199131859504602
[ 3  3  0 18  5  1],116.13968276977539,0.8535544317781003
[0 6 3 5 6 0],116.13968276977539,0.9089687250136795
[ 7  4 13 13  6  0],116.13968276977539,0.8591403774802722
